,G1,G2,G3,G4,G5,D1,D2,D3,S1,S2,S3,A1,A2,A3
18,96662.5994,2434687.676,1234890.2148,346653.0218,17434.817662,234924.0,300458.0,3263073.0,41.146327918816304,100.0,10.623514147553548,96662.5994,1361067.699175,346653.0218
19,8092094.43,18401917.218,9945612.884,13395070.308,6560994.614,240241.0,822729.0,364605.0,100.0,62.163577709063375,100.0,783252.970703125,511437.78125,700883.072265625
20,77156.78932000003,372928.7246,1425435.8824,37792322.22,1196517.0078,136294.0,3903936.0,146462.0,100.0,0.0,100.0,394703.7385161044,0.0,2876844.3082038956
21,836322.3032,691714.2706,4203333.318,156915.64426,43557356.38,3938887.0,7715104.0,1537075.0,100.0,2.0005066575868224,54.577478542052454,19426252.2706,154341.16915974722,838896.7783002527
22,20173203.44,5560424.506,1146674.9424,5069241.598,70897.24674,58537.0,392168.0,165757.0,54.65626982797378,100.0,100.0,31994.140669201013,4092367.043570799,1552797.8046875
23,2632.267164,2734547.13,2704495.984,1197889.9474,80325.6959,1157428.0,1253186.0,5793196.0,100.0,66.45500838488095,1.393875986383953,5748494.31519769,832804.8613781541,80749.9678881557
24,8297494.378,524492.1782,3660322.102,3360868.276,387736.2162,3031932.0,6730449.0,11345956.0,100.0,50.316421611680006,79.41658501691195,3833821.262479476,3386521.0951991007,9010570.792721422
25,10001092.537999997,699681.4154,72258218.76,170079.76898,71420.00004,4205058.0,6893548.0,3455212.0,74.65358506173668,100.0,51.52715665493174,3139226.5509253633,7803047.171494635,1780372.5
26,6295098.264,1771497.8568,79055401.52,271694.7342,139096.80694,1720145.0,4922528.0,1887897.0,100.0,100.0,55.04411076393148,8821461.001929086,7132741.723281974,1039176.1157889394
27,92783.07226,142170.25527999998,12702246.462000005,52442.44878,2121870.358,47293.0,141134.0,900346.0,100.0,62.0172776035777,100.0,1218419.2230688373,87527.46457303336,1816526.0716781293
28,324795.7262,1595804.5456,669883.8718,8365052.806,1572911.8088,5267508.0,8839086.0,651465.0,100.0,18.434510044683076,70.44455062698765,8844280.424529718,1629442.1965281754,458921.5917421051
