,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,D1,D2,D3,D4,D5,D6,D7,D8,D9,S1,S2,S3,S4,S5,S6,S7,S8,S9,A1,A2,A3,A4,A5,A6,A7,A8,A9
640,971259.2868,19297349.696,4885841.64,2021291.064,8024388.75,971259.2868,19297349.696,4885841.64,2021291.064,8024388.75,971259.2868,19297349.696,4885841.64,2021291.064,8024388.75,2669412.0,4431880.0,16673223.0,2669412.0,4431880.0,16673223.0,2669412.0,4431880.0,16673223.0,100.0,100.0,100.0,100.0,100.0,77.34090192741047,100.0,30.998185275546366,100.0,8335721.603967769,14878712.064615736,24878478.920048244,3123242.8791455235,11119142.372529231,12895221.048568446,6560675.036132142,1373802.3735898843,22435395.011803012
641,2387613.092,917161.2958,1058121.1136,2120195.196,4315316.85,2387613.092,917161.2958,1058121.1136,2120195.196,4315316.85,2387613.092,917161.2958,1058121.1136,2120195.196,4315316.85,2206421.0,4837708.0,8697144.0,2206421.0,4837708.0,8697144.0,2206421.0,4837708.0,8697144.0,66.35828047632788,77.87413702894509,68.42761871668648,31.106084736424116,100.0,51.56948169321406,70.4952932674608,100.0,46.04271231972528,1464143.0356685985,3767323.3569802386,5951248.535561175,686331.1859022564,4881403.669308973,4485072.082912465,1555422.9546648413,5599876.829249208,4004400.9919522484
642,14117380.938,153440392.16,8809245.002,54167.07818,395448.713,14117380.938,153440392.16,8809245.002,54167.07818,395448.713,14117380.938,153440392.16,8809245.002,54167.07818,395448.713,1501162.0,2981372.0,8924732.0,1501162.0,2981372.0,8924732.0,1501162.0,2981372.0,8924732.0,100.0,84.90295650424098,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5465121.905625621,2531272.9723896193,22027507.904759865,4306597.38759192,10469154.85685264,16322716.237136716,4620552.855393225,3496474.297141704,13259105.235386658
643,1713314.6986,2278383.116,6699950.666,41934794.84,5329913.06,1713314.6986,2278383.116,6699950.666,41934794.84,5329913.06,1713314.6986,2278383.116,6699950.666,41934794.84,5329913.06,1677096.0,4287002.0,129654.0,1677096.0,4287002.0,129654.0,1677096.0,4287002.0,129654.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5161057.233344084,17458393.823938705,3440635.4062773488,4955682.635759404,11989370.867304128,3507069.13982307,6586123.71460101,9187637.415972274,2949651.7660549777
644,28054605.84,163300178.34,1766748.0048,100429.38372,631486.686,28054605.84,163300178.34,1766748.0048,100429.38372,631486.686,28054605.84,163300178.34,1766748.0048,100429.38372,631486.686,803780.0,1008243.0,8692174.0,803780.0,1008243.0,8692174.0,803780.0,1008243.0,8692174.0,100.0,100.0,100.0,100.0,100.0,36.855683928769324,100.0,100.0,100.0,4378493.749799669,4309275.028800788,8948233.025098896,4310753.055979797,1655105.2150382018,3203560.175978666,5231406.514214124,3226384.606269939,13823026.300439006
645,7674135.49,45909930.36,396214.5916,198852.64008,22179384.4,7674135.49,45909930.36,396214.5916,198852.64008,22179384.4,7674135.49,45909930.36,396214.5916,198852.64008,22179384.4,1776966.0,3899995.0,4983307.0,1776966.0,3899995.0,4983307.0,1776966.0,3899995.0,4983307.0,100.0,100.0,100.0,97.61193685034735,100.0,100.0,97.74074149815962,100.0,100.0,2566494.227935504,10435025.65561031,16011730.58953216,1734530.9297721433,5348473.334855639,7181743.809078274,1736819.744570187,12589621.092748279,17246277.501718752
646,370096.8978,3849553.396,2073317.892,109503.42626,160484.92844000002,370096.8978,3849553.396,2073317.892,109503.42626,160484.92844000002,370096.8978,3849553.396,2073317.892,109503.42626,160484.92844000002,563066.0,908677.0,5734120.0,563066.0,908677.0,5734120.0,563066.0,908677.0,5734120.0,100.0,60.420315669362026,64.80191514487055,100.0,100.0,72.19622344252286,100.0,100.0,60.865020428755834,1149563.2234688622,549025.5118148888,3715819.576705051,624727.3209816271,2603907.9313822705,4139818.0876623923,1706153.5368537258,1339684.2254218082,3490073.309409374
647,10432014.486,61630269.12,5984824.198,1158723.1866,12421495.632000005,10432014.486,61630269.12,5984824.198,1158723.1866,12421495.632000005,10432014.486,61630269.12,5984824.198,1158723.1866,12421495.632000005,1377386.0,3283804.0,626317.0,1377386.0,3283804.0,626317.0,1377386.0,3283804.0,626317.0,100.0,100.0,100.0,77.99538812218398,40.933764461172544,100.0,100.0,100.0,100.0,2304928.66796875,4519090.162109375,2628294.09375,1074297.556640625,1344184.5947265625,2602643.9765625,2278489.02734375,6034939.3515625,1128536.4375
648,4236722.396000002,3569025.45,7273107.27,1357649.9286,2700951.944,4236722.396000002,3569025.45,7273107.27,1357649.9286,2700951.944,4236722.396000002,3569025.45,7273107.27,1357649.9286,2700951.944,145341.0,340870.0,6701915.0,145341.0,340870.0,6701915.0,145341.0,340870.0,6701915.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,428933.0110677357,665518.4335232795,13565845.097720154,840754.0868779392,761503.3411220585,25384886.66417619,496407.50990848296,3351177.262473213,7570452.031430952
649,1482738.3478,2052925.826,3679153.2,62046.01656,742430.9678,1482738.3478,2052925.826,3679153.2,62046.01656,742430.9678,1482738.3478,2052925.826,3679153.2,62046.01656,742430.9678,2856936.0,5952789.0,11216938.0,2856936.0,5952789.0,11216938.0,2856936.0,5952789.0,11216938.0,100.0,56.70329756417995,43.22468678165753,39.3715967798541,55.40525179822158,18.098620947584337,24.428095772138594,32.1594310722305,31.41552082939993,3244741.3188887313,3375427.660037772,4848486.316992721,1124821.3221784926,3298157.7344668363,2030111.0905455477,697895.0622287055,1914383.075330319,3523859.493810876
650,4339029.304,1165452.9766,987471.0724,338012.7562,189864.8031,4339029.304,1165452.9766,987471.0724,338012.7562,189864.8031,4339029.304,1165452.9766,987471.0724,338012.7562,189864.8031,159582.0,1688407.0,1859194.0,159582.0,1688407.0,1859194.0,159582.0,1688407.0,1859194.0,55.53176581649113,21.54374092626635,100.0,48.996563235329305,100.0,59.794894843235184,100.0,100.0,100.0,88618.70252527288,363746.0298609459,3628448.9486691686,78189.6955422032,4272048.607338475,1111703.097231738,195362.6790471912,3421909.3515303363,7899465.625154667
651,12824.169466,2703314.294,5766759.4739999985,41844222.96,4887010.454,12824.169466,2703314.294,5766759.4739999985,41844222.96,4887010.454,12824.169466,2703314.294,5766759.4739999985,41844222.96,4887010.454,2358136.0,6132158.0,127173.0,2358136.0,6132158.0,127173.0,2358136.0,6132158.0,127173.0,100.0,100.0,100.0,100.0,27.94382547384848,100.0,100.0,100.0,100.0,13337498.261670435,8499989.895262046,2906883.0157906823,6939613.420214375,1713559.5293006375,3129481.436307882,9115931.898379503,11768531.359694852,4111096.1652775854
652,1521601.7096,2042780.128,491928.3724,47061758.18,1893028.2642,1521601.7096,2042780.128,491928.3724,47061758.18,1893028.2642,1521601.7096,2042780.128,491928.3724,47061758.18,1893028.2642,171768.0,5306615.0,3227750.0,171768.0,5306615.0,3227750.0,171768.0,5306615.0,3227750.0,100.0,95.91830544479596,100.0,100.0,100.0,100.0,100.0,100.0,100.0,705311.0922038204,5090015.18447936,16526991.248664597,698576.2286292946,7721999.554737579,17944810.69664938,1253857.5430523057,56796798.437712595,12170040.105346069
653,20996.2926,347454.8404,6283342.93,21191514.42,13909.764180000002,20996.2926,347454.8404,6283342.93,21191514.42,13909.764180000002,20996.2926,347454.8404,6283342.93,21191514.42,13909.764180000002,2661958.0,5110937.0,897217.0,2661958.0,5110937.0,897217.0,2661958.0,5110937.0,897217.0,100.0,100.0,100.0,100.0,100.0,100.0,34.96037503647594,100.0,63.403476375634646,7091834.239147948,16911581.09384573,2805043.9950102353,4490071.183763823,10003382.892305844,1355751.4860114204,930630.5001134741,23312178.068958353,568866.7686331779
654,5461646.14,1260764.9152,2267857.262,2651660.016,11133176.944,5461646.14,1260764.9152,2267857.262,2651660.016,11133176.944,5461646.14,1260764.9152,2267857.262,2651660.016,11133176.944,117137.0,387004.0,1860614.0,117137.0,387004.0,1860614.0,117137.0,387004.0,1860614.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1697516.3065656605,1688408.297562981,6180525.651024932,884068.6785099483,911393.7134275149,4186394.09375,716062.732160759,2044823.1178579656,13034824.7390668
655,1106466.3076,2068372.002,85338.22094,201352.1554,325947.8236,1106466.3076,2068372.002,85338.22094,201352.1554,325947.8236,1106466.3076,2068372.002,85338.22094,201352.1554,325947.8236,3833499.0,7247229.0,12170948.0,3833499.0,7247229.0,12170948.0,3833499.0,7247229.0,12170948.0,51.7656549912133,11.505620150975052,2.6004502505308498,49.9808094392619,26.378568320484906,3.650350108209571,45.821859661517074,13.458053385881877,10.054498613051273,1984435.866431612,833838.6402113077,316499.44775797945,1916013.8300460102,1911715.253106995,444282.21348813066,1756580.5319056604,975335.9478171133,1223727.7978551916
656,3169278.8260000013,134943.60008,1371883.0386,34703596.68,4020515.294,3169278.8260000013,134943.60008,1371883.0386,34703596.68,4020515.294,3169278.8260000013,134943.60008,1371883.0386,34703596.68,4020515.294,1901396.0,4886030.0,11879869.0,1901396.0,4886030.0,11879869.0,1901396.0,4886030.0,11879869.0,34.08515386143831,100.0,100.0,63.61085885669888,100.0,100.0,11.286286100944942,9.292583057143343,52.27884896388167,648093.7521152336,5291078.077530453,31445691.767281227,1209494.3258669183,44462155.12541616,33558239.42779415,214596.9924719231,454038.3959469409,6210658.771617
657,2907120.68,921382.5336,2819143.7819999987,183409423.12,9048571.024,2907120.68,921382.5336,2819143.7819999987,183409423.12,9048571.024,2907120.68,921382.5336,2819143.7819999987,183409423.12,9048571.024,1253962.0,3773164.0,3488599.0,1253962.0,3773164.0,3488599.0,1253962.0,3773164.0,3488599.0,100.0,100.0,100.0,100.0,73.73659652306789,60.308979902139306,100.0,100.0,100.0,5086970.243964825,4014275.01990201,3863184.394608332,5281570.561100641,2782202.7148336493,2103938.4697762327,3769537.096044494,4609152.325096745,3972576.796873071
658,4293835.1839999985,2623764.35,1410323.571,33779129.8,2702132.9480000003,4293835.1839999985,2623764.35,1410323.571,33779129.8,2702132.9480000003,4293835.1839999985,2623764.35,1410323.571,33779129.8,2702132.9480000003,1430787.0,3231887.0,102935.0,1430787.0,3231887.0,102935.0,1430787.0,3231887.0,102935.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2235888.9559252188,22045301.57628875,2520742.7530955737,1541980.5622488863,4428677.836947718,1796474.6780532375,7552318.963049536,13595213.419634286,2186710.1733192904
659,7844353.414,449692.4374,12012431.43,915438.1486,15321315.746,7844353.414,449692.4374,12012431.43,915438.1486,15321315.746,7844353.414,449692.4374,12012431.43,915438.1486,15321315.746,2639222.0,7406809.0,5807015.0,2639222.0,7406809.0,5807015.0,2639222.0,7406809.0,5807015.0,100.0,100.0,100.0,100.0,100.0,38.11452242282108,100.0,100.0,100.0,15088611.658812432,20170274.06146723,20699191.316963162,4490704.576159016,11989779.550286004,2213316.034271584,4911379.543014617,9233706.158157513,15834984.707243437
660,24953504.64,25003796.62,1837978.6266,111541256.22,18525261.024,24953504.64,25003796.62,1837978.6266,111541256.22,18525261.024,24953504.64,25003796.62,1837978.6266,111541256.22,18525261.024,332466.0,792772.0,4624271.0,332466.0,792772.0,4624271.0,332466.0,792772.0,4624271.0,100.0,100.0,100.0,100.0,100.0,80.30043340170454,100.0,100.0,100.0,6252019.027046021,3987675.7557015,6195839.610166812,7301951.37429272,7182201.122631925,3713309.6546693365,2705748.153004838,5555428.549586884,6656267.191023402
661,60751.0206,1370380.1544,9109514.862,1763191.1930000002,125254.016,60751.0206,1370380.1544,9109514.862,1763191.1930000002,125254.016,60751.0206,1370380.1544,9109514.862,1763191.1930000002,125254.016,59708.0,147920.0,2923577.0,59708.0,147920.0,2923577.0,59708.0,147920.0,2923577.0,100.0,100.0,100.0,100.0,100.0,68.6279911126785,100.0,100.0,100.0,605234.4353667859,1956113.9524873057,7890528.422862992,1856713.5399389393,1376027.1992014074,2006392.1637323126,1349269.3493508925,1330088.3231788687,15847710.042411745
662,49529561.04,48042013.8,1335623.7146,408268.3152,4080852.968,49529561.04,48042013.8,1335623.7146,408268.3152,4080852.968,49529561.04,48042013.8,1335623.7146,408268.3152,4080852.968,1569706.0,4495784.0,13476475.0,1569706.0,4495784.0,13476475.0,1569706.0,4495784.0,13476475.0,100.0,100.0,100.0,100.0,100.0,77.17049026423226,100.0,100.0,100.0,4533067.767803156,7800478.6067672325,59075764.69618349,5846149.898218561,4525255.173063232,10399861.827836694,5127798.011371205,6537413.628676762,30151316.887354665
