,G1,G2,G3,G4,G5,D1,D2,D3,D1A1,D1A2,D1A3,D1A4,D1A5,D2A1,D2A2,D2A3,D2A4,D2A5,D3A1,D3A2,D3A3,D3A4,D3A5,R1,R2,R3,S1,S2,S3,A1,A2,A3
458,688952.782,10017577.31,9645754.915,2041463.198,8090356.4860000005,174822.0,503888.0,2431004.0,179970.21875,2609924.25,9158625.0,322763.875,76361.4140625,0.0,613012.5625,1702869.5,0.0,144582.5,729198.8125,0.0,0.0,0.0,0.0,-100.0,61.170407660035565,22.730296635291804,100.0,100.0,22.730296635291804,11278917.459417067,2269860.418729623,552574.4204158091
459,0.0,8207770.076,6397085.494,2111990.989,24742.88981,1974134.0,3953876.0,6967653.0,0.0,0.0,0.0,0.0,0.0,1249572.0,0.0,0.0,0.0,526116.5,0.0,0.0,15260931.0,2614958.5,0.0,0.0,0.6257882090890053,84.34446075314025,0.0,0.6257882090890053,100.0,0.0,24742.88981,8509076.483
460,1289044.5420000001,853319.9155,2747852.559,4787898.1510000015,3811855.923,88825.0,135538.0,4095993.0,343803.90625,1065170.375,3186208.75,44008.28125,0.0,1168343.625,0.0,0.0,170608.859375,152851.03125,0.0,2361571.25,3612159.75,0.0,0.0,-100.0,-0.06533338436453562,45.41778089229806,100.0,100.0,50.002110015907405,1890176.7387546212,1319425.523516513,2048082.9261038662
461,2851194.378,34757.86112,12399790.71,555624.8049,285400.6065,56201.0,108027.0,1690490.0,0.0,657412.75,0.0,0.0,3674189.0,0.0,1502639.625,417858.21875,0.0,286690.9375,0.0,0.0,0.0,0.0,0.0,-100.0,-94.31825203421366,0.0,100.0,100.0,0.0,275321.7022987935,462694.98407120653,0.0
462,875389.9743,4816324.694,5330688.969,8214326.1510000015,16611171.12,1684922.0,3902008.0,6220861.0,0.0,0.0,972831.1875,0.0,0.0,6350725.5,0.0,1094271.125,479354.1875,0.0,0.0,0.0,2271783.0,0.0,0.0,57.737461289009225,52.45455687302537,36.51878735113998,57.737461289009225,62.76294889195511,36.51878735113998,972831.1875,2449015.2868,2271783.0
463,2232197.812,514135.3031,17593670.85,77663.44275,46725.08694,881091.0,1516922.0,3323225.0,0.0,0.0,0.0,86003.5703125,248357.25,521866.5625,0.0,0.0,101353.90625,560379.9375,5044463.0,941457.375,14194241.0,772480.1875,0.0,2.4183366585881574,16.47117318835338,46.95087885262057,2.4183366585881574,16.47117318835338,100.0,21307.74664852098,249854.84975223386,16793800.048389245
464,58698.45802000001,49061.62708,369885.8573,4156237.9039999996,143654.4918,2320913.0,5014547.0,5908979.0,689306.8125,0.0,386496.65625,0.0,1916586.625,211717.828125,1607387.0,19413588.0,0.0,167714.390625,4464181.0,0.0,0.0,0.0,0.0,3.4343862298867993,-24.189286489407777,0.826551024235327,6.3275454898418255,8.4873644997045,0.826551024235327,146856.82585465262,425602.88189899694,48840.72644635038
465,3662900.7589999996,822823.2775,6236909.0079999985,675843.3069,829773.4806,65453.0,166400.0,2651372.0,727753.6875,0.0,0.0,29301486.0,0.0,0.0,2557453.0,5463118.0,0.0,0.0,0.0,0.0,3963077.25,2208680.5,3156110.75,-100.0,-100.0,74.81871084102872,100.0,100.0,100.0,1356224.2858804958,4437534.087353735,3499344.3872657674
466,0.0,5734193.376,170537.4026,1248084.6570000001,97059.94379,1585826.0,3302082.0,8974001.0,0.0,191374.734375,156620.8125,201888.65625,0.0,0.0,0.0,1870253.125,2240736.25,0.0,610431.25,17509920.0,2212406.0,0.0,0.0,10.811524256051282,34.50166271302119,51.54137955081404,10.811524256051282,36.95135165169685,64.19878425803438,171451.9626487678,1220163.9316473843,5761199.541303848
467,16164.30467,390338.2029,953675.2285,245964.1862,68410.50922,2347218.0,4572662.0,12079971.0,3556983.0,0.0,0.0,0.0,0.0,0.0,6309465.5,196815.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.465379667759876,8.611872405231349,0.0,0.6886580057753476,12.840523059106488,0.0,16164.30467,587153.7185249999,0.0
468,451813.095,717354.8869,420326.6945,905203.1902,17440478.57,2121897.0,5782818.0,2200074.0,675036.0,1328178.625,1158528.875,0.0,4703976.0,106776.125,0.0,0.0,1816460.75,0.0,0.0,0.0,1543395.25,296148.40625,0.0,72.93071954010964,14.526084596122137,16.68089143769016,100.0,14.526084596122137,16.68089143769016,5991664.8763913745,840017.0347197782,366991.95548884745
469,1794960.48,19180988.48,1724065.709,13716698.7,36512468.61,47616.0,343638.0,488726.0,22938.6875,338860.34375,0.0,90548.875,0.0,1042774.1875,0.0,0.0,0.0,0.0,77869.484375,0.0,22539.3203125,0.0,656244.6875,15.000859742523517,79.6548639120237,94.51783837595094,100.0,100.0,100.0,452347.90625,1042774.1875,756653.4921875
470,788516.3666,732171.1508,3164184.46,4443256.782,92407.5021,1412160.0,2498523.0,7465671.0,0.0,36790.48046875,0.0,202110.28125,0.0,0.0,4911841.0,510121.5625,3224859.75,384716.78125,5165872.0,0.0,8907068.0,0.0,446531.0,14.697597288957994,73.85248767471822,41.865749442606344,14.697597288957994,100.0,51.31406292976644,207553.5898757492,4165756.805804927,3830939.1150693237
471,273015.5921,478499.3113,16645801.77,13463518.95,77710366.94,1366916.0,3859671.0,146350.0,422613.15625,358298.59375,0.0,8203787.0,0.0,595640.8125,155225.015625,0.0,328802.03125,0.0,171623.171875,0.0,473795.0,0.0,899863.6875,44.270293492796924,15.807280579603038,4.411898915271607,100.0,15.807280579603038,100.0,8634616.221214755,610109.0244195703,1413037.3765156756
472,13508238.1,11861522.7,4379566.023,1313813.496,191396.6554,3601353.0,6633465.0,5140273.0,453387.53125,0.0,379737.46875,0.0,367053.21875,1532764.75,356774.03125,48689.3671875,0.0,0.0,7339875.0,7616467.0,0.0,152378.453125,1172205.75,24.400985853872832,29.218939851759224,78.32672855483551,24.400985853872832,29.218939851759224,100.0,878765.6360780249,1938228.1484375,15254476.472446974
473,148253.5925,1178105.1,2671463.98,15636718.67,3329820.108,193311.0,778276.0,505353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4677520.5,64013.00390625,153578.359375,0.0,0.0,1261024.25,646186.0,0.0,49.076452262356156,69.22080982253989,0.0,100.0,100.0,0.0,4741533.50390625,2055463.8425
474,10511280.89,837191.8943,717871.3409999999,475549.0601,11833060.42,1827435.0,3959036.0,10147366.0,0.0,0.0,0.0,0.0,183780.359375,266701.9375,0.0,0.0,0.0,5157.03662109375,0.0,2435999.5,0.0,1015858.5,0.0,10.056738509167221,6.866797223392102,12.936765604000094,10.056738509167221,6.866797223392102,12.936765604000094,183780.359375,271858.97412109375,1312740.9544000002
475,239197.7884,41751.31701,92869.20897,49018.46436000001,708485.0004,75932.0,345244.0,1409570.0,0.0,10193522.0,5544485.5,264076.78125,213340.75,0.0,0.0,8508994.0,0.0,0.0,5345429.0,2877284.0,1428951.375,636336.5,22308552.0,-100.0,-185.21624780086483,-129.5263207993679,100.0,14.783752199135153,70.4736792006321,86905.92178926787,51040.017442382166,993375.8399083499
476,897987.2555,20037162.46,13053866.67,52213.86688,86323.44451,37249.0,136579.0,1155113.0,343031.9375,149395.375,497318.125,0.0,43878.59765625,0.0,674237.125,99478.078125,0.0,0.0,419457.0,155128.65625,1492996.75,0.0,136617.375,-100.0,53.3503537787654,90.9178861180681,100.0,100.0,100.0,1010730.6796315216,773715.203125,2132920.6086284784
477,70506.23144,6721602.249,12241683.91,3376008.4839999997,195437.0796,3381998.0,5900031.0,684835.0,185075.515625,11260840.0,950059.375,341032.875,414160.375,0.0,1987223.875,0.0,0.0,0.0,485297.28125,513055.78125,68282.6953125,0.0,423326.96875,71.11420485575391,16.451728774987828,56.685256864888565,100.0,16.451728774987828,68.44177816655247,6907550.156085388,970657.097760202,468713.2515069096
478,1865574.725,67175898.8,1138664.534,16845068.51,3024638.833,111953.0,252609.0,3004410.0,6953181.0,1941161.25,1199696.125,0.0,543185.625,0.0,0.0,77706.4453125,0.0,335510.28125,3599647.5,1697374.5,242373.234375,0.0,2250889.25,-100.0,93.64204258112339,84.07050141500328,100.0,100.0,100.0,4594195.967555201,382479.5552590165,4690738.319185782
479,464931.91299999994,2257050.921,331612.4151,6686094.852999999,7420950.899,2322355.0,5025366.0,5463127.0,1136636.875,808336.1875,0.0,0.0,0.0,1610828.25,0.0,787012.4375,584737.875,0.0,1731879.375,15246443.0,0.0,7080868.0,45329040.0,9.973334598540582,20.074713302103955,-17.01192993499876,9.973334598540582,20.074713302103955,100.0,231616.2347159371,1008827.8168814094,15920196.949502653
480,2962075.9460000005,1478923.448,18509147.56,245964.1862,308480.0518,1129274.0,1523092.0,12022703.0,230010.5,0.0,305319.78125,0.0,155715.46875,0.0,0.0,231032.03125,0.0,1032225.6875,3444431.25,0.0,0.0,0.0,0.0,47.036736534447385,32.767323378296005,23.095120067251344,47.036736534447385,32.767323378296005,23.095120067251344,531173.6361320154,499076.4809889562,2776657.693179029
481,1251074.676,622716.0472,316042.2009,55780.033989999996,68033.9878,4049685.0,7276906.0,16776659.0,0.0,1618821.125,0.0,2395590.75,2567893.75,87221.359375,0.0,2615690.75,11186334.0,771272.875,1474817.375,2801487.5,0.0,1707077.25,93882.1796875,0.849945847550261,-4.072676528681914,9.441500230363983,7.103816518972853,6.0739613203915805,9.441500230363983,287682.1919963658,441996.4557612541,1583968.29813238
482,784673.0767,3255311.939,749580.0481,363531.4211,3739987.6119999997,118003.0,425804.0,1975082.0,162237.125,809158.5625,0.0,837753.8125,0.0,0.0,0.0,0.0,1905959.5,10937635.0,0.0,7700114.5,1985768.25,0.0,274992.09375,-43.313856427378965,-100.0,59.5672845798301,100.0,100.0,100.0,582788.3923089682,3900795.885836987,3787063.8670540447
483,2830838.0130000007,6259313.1170000015,13937552.39,998205.7986,2084797.175,3092017.0,5419412.0,7748868.0,0.0,0.0,0.0,0.0,0.0,7529786.0,0.0,0.0,0.0,2798123.25,5342425.0,0.0,0.0,2510406.5,926043.4375,0.0,50.40188527172529,33.4049405565805,0.0,59.45913585536795,34.734175920378156,0.0,3222335.543642113,2691505.4429578884
484,480176.5238,896488.7790000002,705927.7569,83021955.39,1986745.105,2588202.0,4312091.0,6463271.0,4362796.0,0.0,0.0,965177.3125,0.0,2438024.5,1545827.125,0.0,0.0,4840927.5,0.0,0.0,1476315.625,2301949.25,0.0,38.60743245310947,60.39073474214649,46.537999209688095,49.1930486936502,70.85593161531081,46.537999209688095,1273215.4701500284,3055372.250149972,3007877.0069
485,94831.87307,786318.6681,2751962.797,2978385.19,145.6965216,1813324.0,7507452.0,9752108.0,1605441.5,1392489.375,0.0,0.0,0.0,0.0,835401.625,0.0,0.0,0.0,550805.625,1457334.875,0.0,3140487.25,0.0,13.746189030883473,2.3743089313549177,33.977905038935575,20.278981157387065,2.3743089313549177,33.977905038935575,367723.6322823774,178250.1033531834,3313561.995534439
486,129067.4447,25191465.42,5961088.3220000025,5921458.241,315295.4096,2044094.0,3764673.0,15140775.0,3224364.5,0.0,0.0,0.0,8679347.0,0.0,0.0,7325860.0,0.0,932840.625,1101379.875,1188878.625,0.0,3496732.75,0.0,-29.600376121328175,88.06263485567007,31.16401438990645,18.63428187385209,100.0,31.16401438990645,380902.2377264981,5991687.013830146,4718473.299743358
487,247357.987,748517.191,4075978.3310000002,67980.31207,3458230.711,5365903.0,11678911.0,5857521.0,15499.01171875,0.0,235148.875,0.0,0.0,1604164.875,3337588.0,815680.4375,1806831.25,21852780.0,2875676.75,341177.78125,16618221.0,0.0,0.0,1.0268182400811376,23.1864966897676,45.47089698065164,1.0268182400811376,38.3746709660336,69.33347388178439,55098.07074906097,4481743.668665904,4061222.792655036
488,4333162.69,3589900.9269999997,2193357.245,40333.10944,652546.0903,1430872.0,3849878.0,4203110.0,604472.0625,16372.4521484375,181725.234375,0.0,0.0,0.0,6820891.5,2011314.875,0.0,114923.484375,0.0,8102649.0,982888.125,0.0,0.0,51.29104044936923,68.39796535850044,50.856115194564794,51.29104044936923,81.63800013200495,62.47234014466127,733909.1362986985,3142963.406722029,2625781.175854272
