,hst,chnst,z
37153,59907.0,116336.0,2007795.0
37154,92255.0,158675.0,3450562.0
37155,124678.0,186280.0,4449582.0
37156,205109.0,292964.0,4533494.0
37157,343906.0,540238.0,5563405.0
37158,565795.0,869483.0,5888160.0
37159,835641.0,1439831.0,6206304.0
37160,1442505.0,2227014.0,6227421.0
37161,3364395.0,5438127.0,6372661.0
37162,4043883.0,6534774.0,5731675.0
37163,3596753.0,5976930.0,6628131.0
37164,3423724.0,5613120.0,9747864.0
37165,2127313.0,3736801.0,12272365.0
37166,1834295.0,3314282.0,14113371.0
37167,1943103.0,3516822.0,13837775.0
37168,1660491.0,3381535.0,9014253.0
37169,1587731.0,3665068.0,4462171.0
37170,1605187.0,4164074.0,1888433.0
37171,1855901.0,4882739.0,792778.0
37172,1558937.0,4795022.0,353676.0
37173,1055156.0,3346410.0,245720.0
37174,478781.0,1650060.0,269777.0
37175,192759.0,738322.0,409169.0
37176,92492.0,300719.0,928985.0
37177,96958.0,253406.0,2094942.0
37178,149979.0,317235.0,3973148.0
37179,221669.0,380209.0,5145605.0
37180,305514.0,479463.0,5653759.0
37181,581358.0,830093.0,7088184.0
37182,1215004.0,1759333.0,7672964.0
37183,1399308.0,2205043.0,7237271.0
37184,1806942.0,3093864.0,7502859.0
37185,1954446.0,3504573.0,6898220.0
37186,2383983.0,4307885.0,6306886.0
37187,2342422.0,4162744.0,7154551.0
37188,2538502.0,4418486.0,9990870.0
37189,2248374.0,3908572.0,13632211.0
37190,3927256.0,6135046.0,16922812.0
37191,3523404.0,6328524.0,15078584.0
37192,2282381.0,4589057.0,8329646.0
